city,year,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_temperature_range,total_precipitation,rainy_days,heavy_rain_days,hot_days,comfortable_days,average_max_wind_speed,average_tourism_score,number_of_days,rainy_day_percentage,hot_day_percentage,comfortable_day_percentage
Cabo San Lucas,2023,1,January,20.529032258064515,25.13225806451613,15.73225806451613,9.399999999999999,0.7,0,0,0,31,18.796774193548387,2.967741935483871,31,0.0,0.0,100.0
Cabo San Lucas,2023,2,February,20.25357142857143,24.97142857142857,15.360714285714286,9.610714285714286,0.4,0,0,0,26,19.87142857142857,2.857142857142857,28,0.0,0.0,92.85714285714286
Cabo San Lucas,2023,3,March,22.506451612903227,27.370967741935484,17.467741935483872,9.903225806451612,0.0,0,0,0,25,21.293548387096774,2.806451612903226,31,0.0,0.0,80.64516129032258
Cabo San Lucas,2023,4,April,23.776666666666664,28.53666666666667,18.726666666666667,9.81,0.2,0,0,3,21,24.946666666666665,2.566666666666667,30,0.0,10.0,70.0
Cabo San Lucas,2023,5,May,24.67096774193548,29.258064516129032,20.17096774193548,9.087096774193547,0.0,0,0,7,19,26.596774193548388,2.3548387096774195,31,0.0,22.58064516129032,61.29032258064516
Cabo San Lucas,2023,6,June,27.3,31.39333333333333,23.19333333333333,8.2,0.0,0,0,12,10,23.626666666666665,2.2333333333333334,30,0.0,40.0,33.33333333333333
Cabo San Lucas,2023,7,July,29.719354838709677,33.309677419354834,26.45483870967742,6.854838709677419,54.5,6,1,21,2,23.10967741935484,1.967741935483871,31,19.35483870967742,67.74193548387096,6.451612903225806
Cabo San Lucas,2023,8,August,29.496774193548386,32.770967741935486,26.629032258064516,6.141935483870969,159.6,11,1,20,5,21.725806451612904,1.903225806451613,31,35.483870967741936,64.51612903225806,16.129032258064516
Cabo San Lucas,2023,9,September,29.990000000000002,33.806666666666665,26.63,7.176666666666666,17.0,5,0,26,1,20.793333333333333,2.0,30,16.666666666666664,86.66666666666667,3.3333333333333335
Cabo San Lucas,2023,10,October,26.467741935483872,30.306451612903224,23.29032258064516,7.016129032258065,171.9,9,2,10,13,23.106451612903225,2.096774193548387,31,29.03225806451613,32.25806451612903,41.935483870967744
Cabo San Lucas,2023,11,November,25.103333333333335,29.75,21.096666666666668,8.653333333333332,4.8999999999999995,1,0,3,18,15.456666666666667,2.6,30,3.3333333333333335,10.0,60.0
Cabo San Lucas,2023,12,December,22.916129032258063,27.835483870967742,18.103225806451615,9.73225806451613,2.4,1,0,1,26,14.483870967741936,2.838709677419355,31,3.225806451612903,3.225806451612903,83.87096774193549
Cabo San Lucas,2024,1,January,20.68064516129032,25.693548387096776,15.616129032258065,10.077419354838709,0.0,0,0,0,28,18.72258064516129,2.870967741935484,31,0.0,0.0,90.32258064516128
Cabo San Lucas,2024,2,February,20.920689655172417,25.841379310344827,16.182758620689654,9.658620689655173,1.9000000000000001,1,0,0,28,19.089655172413792,2.9655172413793105,29,3.4482758620689653,0.0,96.55172413793103
Cabo San Lucas,2024,3,March,21.33225806451613,26.503225806451614,16.561290322580643,9.941935483870967,0.4,0,0,0,30,21.387096774193548,2.870967741935484,31,0.0,0.0,96.7741935483871
Cabo San Lucas,2024,4,April,23.34,28.686666666666667,18.206666666666667,10.479999999999999,0.0,0,0,3,19,22.55666666666667,2.566666666666667,30,0.0,10.0,63.33333333333333
Cabo San Lucas,2024,5,May,27.016129032258064,31.92258064516129,21.980645161290322,9.941935483870967,0.0,0,0,18,10,21.08709677419355,2.2903225806451615,31,0.0,58.06451612903226,32.25806451612903
Cabo San Lucas,2024,6,June,26.613333333333333,30.913333333333334,22.426666666666666,8.486666666666668,8.100000000000001,2,0,10,9,25.076666666666664,2.0,30,6.666666666666667,33.33333333333333,30.0
Cabo San Lucas,2024,7,July,29.75483870967742,33.8258064516129,26.12258064516129,7.703225806451614,2.5,1,0,29,0,23.741935483870968,1.935483870967742,31,3.225806451612903,93.54838709677419,0.0
Cabo San Lucas,2024,8,August,30.22258064516129,33.932258064516134,27.02258064516129,6.909677419354838,3.9,1,0,28,0,20.46451612903226,1.967741935483871,31,3.225806451612903,90.32258064516128,0.0
Cabo San Lucas,2024,9,September,28.566666666666666,32.61,25.05666666666667,7.553333333333333,44.4,2,2,18,9,22.046666666666667,2.1333333333333333,30,6.666666666666667,60.0,30.0
Cabo San Lucas,2024,10,October,28.52258064516129,33.05483870967742,24.516129032258064,8.538709677419355,0.7,0,0,25,1,18.74516129032258,2.032258064516129,31,0.0,80.64516129032258,3.225806451612903
Cabo San Lucas,2024,11,November,23.203333333333333,28.313333333333333,18.743333333333332,9.569999999999999,0.0,0,0,0,26,16.766666666666666,2.8,30,0.0,0.0,86.66666666666667
Cabo San Lucas,2024,12,December,21.958064516129035,27.403225806451612,17.490322580645163,9.912903225806453,2.0,1,0,0,30,12.674193548387096,2.967741935483871,31,3.225806451612903,0.0,96.7741935483871
Cabo San Lucas,2025,1,January,19.44193548387097,24.72258064516129,14.887096774193548,9.835483870967742,0.1,0,0,0,29,15.103225806451613,2.935483870967742,31,0.0,0.0,93.54838709677419
Cabo San Lucas,2025,2,February,21.325,27.325,16.178571428571427,11.146428571428572,0.0,0,0,0,27,13.653571428571428,2.9642857142857144,28,0.0,0.0,96.42857142857143
Cabo San Lucas,2025,3,March,22.09032258064516,27.870967741935484,16.948387096774194,10.922580645161291,0.0,0,0,0,26,16.36774193548387,2.838709677419355,31,0.0,0.0,83.87096774193549
Cabo San Lucas,2025,4,April,23.936666666666667,29.453333333333333,18.836666666666666,10.616666666666667,0.0,0,0,6,19,18.653333333333332,2.6,30,0.0,20.0,63.33333333333333
Cabo San Lucas,2025,5,May,26.135483870967743,31.529032258064515,20.993548387096773,10.535483870967742,3.3,1,0,15,8,20.154838709677417,2.193548387096774,31,3.225806451612903,48.38709677419355,25.806451612903224
Cabo San Lucas,2025,6,June,26.95,31.41,23.176666666666666,8.233333333333333,2.0999999999999996,1,0,10,7,20.573333333333334,2.2333333333333334,30,3.3333333333333335,33.33333333333333,23.333333333333332
Cabo San Lucas,2025,7,July,29.12258064516129,33.24193548387097,25.45483870967742,7.787096774193548,8.4,3,0,24,1,17.825806451612905,2.032258064516129,31,9.67741935483871,77.41935483870968,3.225806451612903
Cabo San Lucas,2025,8,August,29.16774193548387,32.983870967741936,25.967741935483872,7.016129032258066,50.1,11,0,22,5,17.951612903225808,2.032258064516129,31,35.483870967741936,70.96774193548387,16.129032258064516
Cabo San Lucas,2025,9,September,28.14,31.373333333333335,25.486666666666668,5.886666666666667,142.6,14,2,11,3,17.083333333333332,1.8666666666666667,30,46.666666666666664,36.666666666666664,10.0
Cabo San Lucas,2025,10,October,26.677419354838708,30.893548387096775,23.387096774193548,7.506451612903225,56.300000000000004,6,1,9,11,17.84193548387097,2.225806451612903,31,19.35483870967742,29.03225806451613,35.483870967741936
Cabo San Lucas,2025,11,November,25.623333333333335,30.926666666666666,21.25,9.676666666666668,6.4,1,0,11,10,14.873333333333333,2.3,30,3.3333333333333335,36.666666666666664,33.33333333333333
Cabo San Lucas,2025,12,December,23.30322580645161,28.19677419354839,19.596774193548388,8.600000000000001,48.4,3,1,1,26,12.312903225806451,2.774193548387097,31,9.67741935483871,3.225806451612903,83.87096774193549
Cancun,2023,1,January,24.606451612903225,27.003225806451614,22.738709677419354,4.264516129032258,65.0,16,1,0,31,20.009677419354837,2.935483870967742,31,51.61290322580645,0.0,100.0
Cancun,2023,2,February,24.817857142857143,27.5,22.75,4.75,61.800000000000004,12,0,0,28,19.317857142857143,2.857142857142857,28,42.857142857142854,0.0,100.0
Cancun,2023,3,March,25.67096774193548,28.43548387096774,23.506451612903227,4.929032258064516,55.1,11,1,0,30,22.051612903225806,2.838709677419355,31,35.483870967741936,0.0,96.7741935483871
Cancun,2023,4,April,26.34,29.673333333333332,23.596666666666668,6.076666666666666,35.2,7,0,1,20,19.546666666666667,2.6,30,23.333333333333332,3.3333333333333335,66.66666666666666
Cancun,2023,5,May,27.325806451612905,30.919354838709676,24.135483870967743,6.783870967741936,99.5,14,1,1,3,16.470967741935485,1.903225806451613,31,45.16129032258064,3.225806451612903,9.67741935483871
Cancun,2023,6,June,28.12,31.66,25.426666666666666,6.233333333333333,77.2,18,0,10,0,18.016666666666666,1.8,30,60.0,33.33333333333333,0.0
Cancun,2023,7,July,29.006451612903227,32.39354838709678,26.261290322580646,6.1322580645161295,112.3,18,0,22,0,16.22258064516129,1.7419354838709677,31,58.06451612903226,70.96774193548387,0.0
Cancun,2023,8,August,28.57741935483871,32.04838709677419,25.758064516129032,6.290322580645162,221.4,21,2,22,5,14.85483870967742,1.7741935483870968,31,67.74193548387096,70.96774193548387,16.129032258064516
Cancun,2023,9,September,27.84333333333333,31.57,24.87,6.7,86.8,17,0,8,3,12.22,1.8666666666666667,30,56.666666666666664,26.666666666666668,10.0
Cancun,2023,10,October,27.396774193548385,30.68064516129032,24.75483870967742,5.925806451612903,44.6,12,0,9,11,16.419354838709676,2.3225806451612905,31,38.70967741935484,29.03225806451613,35.483870967741936
Cancun,2023,11,November,25.68,28.723333333333336,23.16,5.5633333333333335,128.7,14,1,0,28,16.486666666666668,2.7,30,46.666666666666664,0.0,93.33333333333333
Cancun,2023,12,December,24.225806451612904,27.032258064516128,21.938709677419357,5.093548387096774,92.3,11,0,0,30,17.958064516129035,2.806451612903226,31,35.483870967741936,0.0,96.7741935483871
Cancun,2024,1,January,24.548387096774192,27.541935483870965,22.129032258064516,5.412903225806452,70.3,16,0,0,31,18.96451612903226,2.806451612903226,31,51.61290322580645,0.0,100.0
Cancun,2024,2,February,23.29655172413793,26.917241379310347,20.079310344827583,6.837931034482759,17.3,5,0,0,28,19.63103448275862,2.8620689655172415,29,17.24137931034483,0.0,96.55172413793103
Cancun,2024,3,March,26.39032258064516,29.63225806451613,24.01290322580645,5.619354838709677,32.4,11,0,0,25,21.17096774193548,2.7419354838709675,31,35.483870967741936,0.0,80.64516129032258
Cancun,2024,4,April,26.80666666666667,30.146666666666665,24.16,5.986666666666667,40.199999999999996,7,0,2,11,20.733333333333334,2.2,30,23.333333333333332,6.666666666666667,36.666666666666664
Cancun,2024,5,May,29.12258064516129,32.50322580645162,26.567741935483873,5.935483870967741,6.0,2,0,25,0,21.751612903225805,1.935483870967742,31,6.451612903225806,80.64516129032258,0.0
Cancun,2024,6,June,27.66,30.563333333333333,25.14,5.423333333333333,480.7,21,10,11,13,19.58,1.9333333333333333,30,70.0,36.666666666666664,43.333333333333336
Cancun,2024,7,July,28.258064516129032,31.08709677419355,25.725806451612904,5.361290322580645,200.70000000000002,22,1,2,1,16.983870967741936,1.7741935483870968,31,70.96774193548387,6.451612903225806,3.225806451612903
Cancun,2024,8,August,28.216129032258067,32.035483870967745,25.112903225806452,6.9225806451612915,150.0,27,0,20,1,13.261290322580646,1.6774193548387097,31,87.09677419354838,64.51612903225806,3.225806451612903
Cancun,2024,9,September,27.826666666666664,31.32,25.253333333333334,6.066666666666666,381.09999999999997,25,4,12,5,15.963333333333333,1.6333333333333333,30,83.33333333333334,40.0,16.666666666666664
Cancun,2024,10,October,26.570967741935487,29.306451612903224,24.32903225806452,4.977419354838709,248.8,26,4,1,24,17.94516129032258,2.3548387096774195,31,83.87096774193549,3.225806451612903,77.41935483870968
Cancun,2024,11,November,25.733333333333334,28.903333333333332,23.103333333333335,5.8,122.0,18,1,0,26,16.12,2.566666666666667,30,60.0,0.0,86.66666666666667
